artist,국적,활동유형,활동장르,데뷔(곡),멤버
권은비,대한민국,"여성, 솔로","댄스, R&B/Soul, 국내드라마",2021.08.24,
MSG워너비(M.O.M),대한민국,"남성, 그룹",발라드,2021.05.21,"별루지 , 강창모 , 박재정 , 원슈타인"
2PM,대한민국,"남성, 그룹","댄스, 발라드, R&B/Soul",2008.09.04,"닉쿤 (2PM) , 택연 , 장우영 , 이준호 , 찬성 , 준케이 (JUN. K)"
엠씨더맥스 (M.C the MAX),대한민국,"남성, 그룹","발라드, 록/메탈, 국내드라마",2002.11.01,"이수 (엠씨더맥스) , 전민혁 , J. Yoon"
이예준,대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2014.01.07,
김재환,대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2019.05.20,
소녀시대 (GIRLS' GENERATION),대한민국,"여성, 그룹","댄스, 발라드, 일렉트로니카",2007.08.05,"태연 (TAEYEON) , 써니 (SUNNY) , 유리 (YURI) , 수영 (SOOYOUNG) , Tiffany Young , 서현 (SEOHYUN) , 윤아 (YOONA) , 효연 (HYOYEON)"
태양,대한민국,"남성, 솔로","R&B/Soul, 댄스, 발라드",2008.05.22,
마미손,대한민국,"남성, 솔로","랩/힙합, 발라드, 댄스",2018.11.10,
주시크 (Joosiq),대한민국,"남성, 솔로","R&B/Soul, 인디음악, 랩/힙합",2020.07.15,
WSG워너비 (가야G),대한민국,"여성, 그룹",발라드,2022.07.09,"이보람 (씨야) , 정소연 (Jung Soyeon) , HYNN (박혜원) , 정지소"
신용재 (2F),대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2012.07.27,
NCT 도재정,대한민국,"남성, 그룹","R&B/Soul, 일렉트로니카, 발라드",2023.04.17,"도영 (DOYOUNG) , 재현 (JAEHYUN) , 정우 (JUNGWOO)"
던 (DAWN),대한민국,"남성, 솔로","R&B/Soul, 발라드, 랩/힙합",2019.11.05,
라비 (RAVI),대한민국,"남성, 솔로","랩/힙합, 발라드, 댄스",2017.01.09,
선예,대한민국,"여성, 솔로","발라드, 국내드라마, CCM",2007.07,
PATEKO (파테코),대한민국,"남성, 솔로","인디음악, 랩/힙합, 록/메탈",2020.07.19,
순순희(기태),대한민국,"남성, 솔로","발라드, 인디음악, 국내드라마",2023.01.23,
청하,대한민국,"여성, 솔로","댄스, 발라드, 국내드라마",2017.04.21,
이석훈,대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2010.04.22,
케이시 (Kassy),대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2015.08.25,
Say Yes!,"대한민국,캐나다","남성, 그룹",댄스,2023.04.06,
조광일,대한민국,"남성, 솔로","랩/힙합, 국내드라마, 인디음악",2019.10.29,
보라미유,대한민국,"여성, 솔로","발라드, 인디음악, 국내드라마",2018.11.21,
베이식 (Basick),대한민국,"남성, 솔로","랩/힙합, 인디음악, 국내드라마",2008.03.18,
장혜진,대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",1991.09.01,
찬열 (CHANYEOL),대한민국,"남성, 솔로","발라드, 록/메탈, 국내영화",2024.08.28,
강민경 (다비치),대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2012.08,
SHINee (샤이니),대한민국,"남성, 그룹","댄스, 발라드, R&B/Soul",2008.05.25,"종현 (JONGHYUN) , 키 (KEY) , 태민 (TAEMIN) , 온유 (ONEW) , 민호 (MINHO)"
블루 (BLOO),대한민국,"남성, 솔로","랩/힙합, 인디음악, 국내드라마",2016.06.18,
ASH ISLAND,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 록/메탈",2018.11.12,
시온,독일,"남성, 솔로","R&B/Soul, 발라드, 국내드라마",2022.07.23,
유림,대한민국,"여성, 솔로",발라드,2022.11.13,
KCM,대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2004.09.07,
Red Velvet (레드벨벳),대한민국,"여성, 그룹","댄스, R&B/Soul, 발라드",2014.08.01,"웬디 (WENDY) , 아이린 (IRENE) , 슬기 (SEULGI) , 조이 (JOY) , 예리 (YERI)"
환불원정대,대한민국,"여성, 그룹",댄스,2020.10.10,"만옥 , 천옥 , 은비 , 실비"
