artist,국적,활동유형,활동장르,데뷔(곡),멤버
VIVIZ (비비지),대한민국,"여성, 그룹","댄스, R&B/Soul, 국내드라마",2022.02.09,"은하 (EUNHA) , 신비 (SINB) , 엄지 (UMJI)"
빈지노 (Beenzino),대한민국,"남성, 솔로","랩/힙합, 댄스, 국내드라마",2012.07.03,
벤,대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2012.09.18,
이세계아이돌,대한민국,"여성, 그룹","댄스, 발라드, 록/메탈",2021.12.17,"주르르 , 아이네 , 징버거 , 릴파 , 고세구 , 비챤"
SINCE,대한민국,"여성, 솔로","랩/힙합, 인디음악, 게임",2020.02.21,
원슈타인,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 국내드라마",2018.12.11,
백현 (BAEKHYUN),대한민국,"남성, 솔로","R&B/Soul, 발라드, 국내드라마",2019.07.10,
진민호,대한민국,"남성, 솔로","발라드, 국내드라마, 인디음악",2016.10.20,
스탠딩 에그,대한민국,"남성, 그룹","인디음악, 포크/블루스, 발라드",2010.04.21,"Egg1 , Egg2 , Egg3"
펀치넬로 (punchnello),대한민국,"남성, 솔로","랩/힙합, 국내드라마, R&B/Soul",2016.09.08,
DAY6 (Even of Day),대한민국,"남성, 그룹","록/메탈, 국내드라마, 발라드",2020.08.31,"Young K (DAY6) , 원필 (DAY6) , 도운 (DAY6)"
"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)'",대한민국,"남성, 그룹","발라드, 댄스",2021.06.26,"별루지 , 김정수 , 강창모 , 정기석 , 이동휘 , 이상이 , 박재정 , 원슈타인"
우효,대한민국,"여성, 솔로","인디음악, 일렉트로니카, 록/메탈",2014.05.15,
유두래곤,대한민국,"남성, 솔로",댄스,2020.08.01,
에스파파(S.Papa.),대한민국,"남성, 솔로","발라드, 댄스",2004.12.08,
