아티스트명,국적,활동년대,활동장르,데뷔,멤버,성별,구성
최유리,대한민국,"2010, 2020","발라드, 인디음악, 포크/블루스",2020.02.24,,여성,솔로
비투비,대한민국,"2010, 2020","댄스, 발라드, 국내드라마",2012.03.21,"서은광 (비투비), 이민혁 (허타), 이창섭, 임현식 (비투비), 프니엘 (비투비), 육성재",남성,그룹
BABYMONSTER,대한민국,2020,"댄스, R&B/Soul, 랩/힙합",2024.04.01,"루카(RUKA), 파리타(PHARITA), 아사(ASA), 아현(AHYEON), 라미(RAMI), 로라(RORA), 치키타(CHIQUITA)",여성,그룹
재쓰비 (JAESSBEE),대한민국,2020,"댄스, 국내드라마",2024.11.11,,혼성,그룹
EXO,대한민국,"2010, 2020","댄스, 발라드, R&B/Soul",2012.04.08,"카이 (KAI), 첸 (CHEN), 세훈 (SEHUN), 레이 (LAY), 시우민 (XIUMIN), 백현 (BAEKHYUN), 도경수(D.O.), 수호 (SUHO), 찬열 (CHANYEOL)",남성,그룹
SG 워너비,대한민국,"2000, 2010, 2020","발라드, R&B/Soul, 국내드라마",2004.01.20,"김진호 (SG워너비), 김용준, 이석훈",남성,그룹
순순희,대한민국,"2010, 2020","발라드, 인디음악, 국내드라마",2018.04.17,"순순희(기태), 미러볼 (김부성), 순순희(지환)",남성,그룹
정승환,대한민국,"2010, 2020","발라드, 국내드라마, 댄스",2016.11.29,,남성,솔로
박효신,대한민국,"1990, 2000, 2010, 2020","발라드, R&B/Soul, 댄스",1999.11.04,,남성,솔로
TWICE (트와이스),대한민국,"2010, 2020","댄스, 발라드, R&B/Soul",2015.10.20,"나연 (TWICE), 정연, 모모, 사나, 지효 (TWICE), 미나, 다현, 채영 (TWICE), 쯔위 (TWICE)",여성,그룹
BOYNEXTDOOR,대한민국,2020,"댄스, 랩/힙합, R&B/Soul",2023.05.30,"성호, 리우, 명재현, 태산, 이한, 운학",남성,그룹
BIGBANG (빅뱅),대한민국,"2000, 2010, 2020","랩/힙합, 댄스, 발라드",2006.08.19,"태양, G-DRAGON, 대성, T.O.P",남성,그룹
마크툽 (MAKTUB),대한민국,"2010, 2020","R&B/Soul, 인디음악, 발라드",2011.09.21,,남성,솔로
여자친구 (GFRIEND),대한민국,"2010, 2020","댄스, 발라드, 국내드라마",2015.01.16,"소원 (여자친구), 예린 (YERIN), 은하 (EUNHA), 유주 (YUJU), 신비 (SINB), 엄지 (UMJI)",여성,그룹
김보경 (NEON),대한민국,"2010, 2020","발라드, 록/메탈, 국내드라마",2010.11.16,,여성,솔로
조째즈,대한민국,2020,"발라드, 국내드라마, 성인가요/트로트",2025.01.07,,남성,솔로
지수 (JISOO),대한민국,"2010, 2020","댄스, POP",2023.03.31,,여성,솔로
KiiiKiii (키키),대한민국,2020,"댄스, 랩/힙합, R&B/Soul",2024.03.24,"지유 (KiiiKiii), 이솔 (KiiiKiii), 수이 (KiiiKiii), 하음 (KiiiKiii), 키야 (KiiiKiii)",여성,그룹
Hearts2Hearts (하츠투하츠),대한민국,2020,"일렉트로니카, 댄스, R&B/Soul",2025.02.24,"지우 (JIWOO), 카르멘 (CARMEN), 유하 (YUHA), 스텔라 (STELLA), 주은 (JUUN), 에이나 (A-NA), 이안 (IAN), 예온 (YE-ON)",여성,그룹
10CM,대한민국,"2010, 2020","포크/블루스, 인디음악, 발라드",2010.04.22,권정열,남성,솔로
j-hope,대한민국,"2010, 2020","랩/힙합, R&B/Soul, 댄스",2022.07.15,,남성,솔로
오반(OVAN),대한민국,"2010, 2020","랩/힙합, 인디음악, R&B/Soul",2017.03.02,,남성,솔로
이예은,대한민국,2020,발라드,2022.08.13,,여성,솔로
송필근,대한민국,"2010, 2020","발라드, 포크/블루스, 록/메탈",2014.11.28,,남성,솔로
HIGH4 (하이포),대한민국,2010,"댄스, 발라드, R&B/Soul",2014.04.08,"김윤오, 백명한, 임영준 (하이포), 알렉스 (하이포)",남성,그룹
버스커 버스커,대한민국,2010,"록/메탈, 발라드, 댄스",2012.03.29,"장범준, 브래드, 형태",남성,그룹
RESCENE (리센느),대한민국,2020,"댄스, R&B/Soul, 국내드라마",2024.03.26,"원이 (WONI), 리브 (LIV), 미나미 (MINAMI), 메이 (MAY), 제나 (ZENA)",여성,그룹
로꼬,대한민국,"2010, 2020","랩/힙합, 국내드라마, 댄스",2012.09.04,,남성,솔로
NCT WISH,대한민국,2020,"댄스, 애니메이션/웹툰, 키즈",2024.02.21,"시온 (SION), 유우시 (YUSHI), 리쿠 (RIKU), 재희 (JAEHEE), 료 (RYO), 사쿠야 (SAKUYA)",남성,그룹
마크 (MARK),캐나다,"2010, 2020","랩/힙합, R&B/Soul, 발라드",2017.04.01,,남성,솔로
현서 (HYUN SEO),대한민국,2020,"R&B/Soul, 인디음악, 랩/힙합",2021.10.28,,남성,솔로
투모로우바이투게더,대한민국,"2010, 2020","댄스, 록/메탈, 국내드라마",2019.03.04,"수빈, 연준, 범규, 태현, 휴닝카이",남성,그룹
도경수(D.O.),대한민국,"2010, 2020","발라드, 포크/블루스, 국내드라마",2021.07.26,,남성,솔로
마틴스미스,대한민국,"2010, 2020","발라드, 국내드라마, 인디음악",2016.05.13,"Neat , eldon",남성,그룹
엔플라잉 (N.Flying),대한민국,"2010, 2020","록/메탈, 국내드라마, 댄스",2015.05.20,"이승협 (J.DON), 차훈 (엔플라잉), 김재현, 유회승 (엔플라잉), 서동성",남성,그룹
데이먼스 이어 (Damons year),대한민국,"2010, 2020","인디음악, 록/메탈, 발라드",2017.05.25,,남성,솔로
ALLDAY PROJECT,대한민국,2020,"랩/힙합, 댄스",2025.06.23,"ANNIE, TARZZAN, BAILEY, WOOCHAN, YOUNGSEO",혼성,그룹
FIFTY FIFTY,대한민국,2020,"댄스, POP, 키즈",2022.11.18,"키나, 문샤넬, 예원, 하나, 아테나",여성,그룹
BLACKPINK,대한민국,"2010, 2020","댄스, 랩/힙합, POP",2016.08.08,"지수 (JISOO), 제니 (JENNIE), 로제 (ROSÉ), 리사 (LISA)",여성,그룹
H1-KEY (하이키),대한민국,2020,"댄스, 국내드라마, R&B/Soul",2022.01.05,"서이 (하이키), 리이나 (하이키), 옐 (하이키), 휘서 (하이키)",여성,그룹
NCT DREAM,대한민국,"2010, 2020","댄스, R&B/Soul, 랩/힙합",2016.08.25,"천러 (CHENLE), 런쥔 (RENJUN), 재민 (JAEMIN), 지성 (JISUNG), 제노 (JENO), 해찬 (HAECHAN), 마크 (MARK)",남성,그룹
거북이,대한민국,"2000, 2010","댄스, 랩/힙합, 발라드",2001.12.20,"금비, 이강,지이",혼성,그룹
먼데이 키즈,대한민국,"2000, 2010, 2020","발라드, 국내드라마, R&B/Soul",2005.11.03,이진성 (먼데이 키즈),남성,솔로
이찬혁,대한민국,"2010, 2020","댄스, 록/메탈, 발라드",2022.10.17,,남성,솔로
박다혜,대한민국,"2010, 2020","발라드, 애니메이션/웹툰, R&B/Soul",2015.06.16,,여성,솔로
임창정,대한민국,"1990, 2000, 2010, 2020","발라드, 댄스, 국내드라마",1995.04.01,,남성,솔로
DK(디셈버),대한민국,"2000, 2010, 2020","발라드, 국내드라마, 록/메탈",2009.10.27,,남성,솔로
CORTIS (코르티스),대한민국,2020,"댄스, 랩/힙합, R&B/Soul",2025.08.18,"마틴, 제임스, 주훈, 성현, 건호",남성,그룹
다영 (DAYOUNG),대한민국,"2010, 2020","댄스, 국내드라마, 발라드",2025.09.09,,여성,솔로
브라운 아이드 소울,대한민국,"2000, 2010","R&B/Soul, 발라드, 국내드라마",2003.09.17,"나얼, 정엽, 영준",남성,그룹
다비치,대한민국,"2000, 2010, 2020","발라드, 국내드라마, 댄스",2008.02.22,"강민경 (다비치), 이해리 (다비치)",여성,그룹
화사 (HWASA),대한민국,"2010, 2020","댄스, R&B/Soul, 발라드",2019.02.13,,여성,솔로
한로로,대한민국,2020,"록/메탈, 인디음악, 국내드라마",2022.03.14,,여성,솔로
BIG Naughty (서동현),대한민국,"2010, 2020","랩/힙합, R&B/Soul, 국내드라마",2019.11.21,,남성,솔로
AOA,대한민국,2010,"댄스, 발라드, 일렉트로니카",2012.07.30,"설현 (AOA), 혜정 (AOA), 도화 (AOA)",여성,그룹
나윤권,대한민국,"2000, 2010, 2020","발라드, 국내드라마, 댄스",2004.09.13,,남성,솔로
이보람 (씨야),대한민국,"2000, 2010, 2020","발라드, 국내드라마, R&B/Soul",2017.01.17,,여성,솔로
