title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
Blueming,아이유,Love poem,4569,343,53,3,18,369754,85.16417639955385,4912,100.0,95.54925291986615
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,4469,46,56,0,9,495321,98.5698012572886,4515,91.91775244299674,93.91336708728429
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,4876,24,56,0,24,320125,79.24289003251594,4900,99.7557003257329,93.6018572377678
METEOR,창모 (CHANGMO),Boyhood,4378,419,51,3,18,312720,78.32102077587624,4797,97.65879478827361,91.85746258455438
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,4327,0,56,0,0,416056,90.33923426888259,4327,88.09039087947883,88.76504389629996
늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,4573,175,55,1,19,227384,66.78523545007943,4748,96.66123778501628,87.69843708453523
아무노래,지코 (ZICO),아무노래,3667,846,45,8,16,282212,74.40262337014258,4513,91.8770358306189,86.634712092476
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,4172,0,56,0,0,294537,76.00994878091004,4172,84.93485342019544,82.25738202840981
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,3769,0,56,0,0,438256,92.7180834070079,3769,76.73045602605863,81.5267442403434
Love poem,아이유,Love poem,3681,146,56,1,10,353765,83.30248213246847,3827,77.91123778501628,79.52861108925194
에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,2716,575,29,5,23,397058,88.25259528078917,3291,66.99918566775244,73.37520855166346
안녕,폴킴,호텔 델루나 OST Part.10,3752,0,56,0,0,224279,66.32768137746996,3752,76.38436482084691,73.36735978783382
아로하,조정석,슬기로운 의사생활 OST Part 3,3121,427,35,3,18,265993,72.23299363836122,3548,72.23127035830619,72.23178734232269
Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,3397,104,48,0,11,247493,69.67580104533316,3501,71.27442996742671,70.79484129079864
시작,가호 (Gaho),이태원 클라쓰 OST Part.2,3088,267,41,2,13,272297,73.08393769041527,3355,68.30211726384366,69.73666339181513
봄날,방탄소년단,YOU NEVER WALK ALONE,2673,0,56,0,0,509799,100.0,2673,54.41775244299675,68.09242671009773
마음을 드려요,아이유,사랑의 불시착 OST Part 11,3060,173,41,1,8,265846,72.21303123802731,3233,65.81840390879479,67.73679210756454
Dynamite,방탄소년단,Dynamite (DayTime Version),1376,1140,14,11,13,466634,95.67284750181236,2516,51.22149837133551,64.55690311047856
