title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
ON,방탄소년단,MAP OF THE SOUL : 7,2985,39,40,0,12,247691,69.70366658187437,3024,61.563517915309454,64.00556251527892
어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,3065,0,38,0,0,227399,66.78743824801386,3065,62.39820846905537,63.71497740274292
HIP,마마무 (Mamamoo),reality in BLACK,3109,13,54,0,13,136727,51.787822735816256,3122,63.5586319218241,60.02738916602174
시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2716,0,56,0,0,230215,67.19969764859877,2716,55.29315960912052,58.865121020964
너를 만나,폴킴,너를 만나,2448,0,56,0,0,320719,79.31637454933377,2448,49.8371335504886,58.68090585014215
우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2895,0,53,0,0,153723,54.912338131784274,2895,58.93729641693811,57.72980893139196
처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,2769,255,35,2,10,118001,48.1108859339122,3024,61.563517915309454,57.527728320890276
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,2569,41,30,0,13,193571,61.619852897414496,2610,53.135179153094455,55.68058127639046
사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,2768,3,56,0,3,144157,53.17633212620099,2771,56.4128664495114,55.44190615251827
Dolphin,오마이걸 (OH MY GIRL),NONSTOP,2519,4,30,0,4,206794,63.68974019299597,2523,51.36400651465798,55.06172661815937
너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,2546,0,45,0,0,182291,59.79751329772828,2546,51.83224755700325,54.22182727922076
그때 그 아인,김필,이태원 클라쓰 OST Part.6,2565,44,40,0,7,161247,56.24013209206876,2609,53.114820846905545,54.05241422045451
How You Like That,BLACKPINK,How You Like That,2064,341,22,3,17,206271,63.60915076197136,2405,48.96172638436482,53.35595369764678
다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,1718,544,19,5,11,246811,69.57973433302061,2262,46.05048859934853,53.10926231945015
Black Swan,방탄소년단,MAP OF THE SOUL : 7,2406,3,42,0,3,187505,60.64666684434966,2409,49.04315960912052,52.52421177968926
조금 취했어 (Prod. 2soo),임재현,조금 취했어,2561,3,50,0,3,136255,51.698356190475145,2564,52.19869706840391,52.048594805025274
Square (2017),백예린 (Yerin Baek),Every letter I sent you.,1869,124,36,1,6,316281,78.7656864016432,1993,40.57410423452769,52.03157888466234
Downtown Baby,블루 (BLOO),Downtown Baby,2045,236,23,2,10,207087,63.7348442300426,2281,46.43729641693811,51.62656076086945
좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,2431,5,35,0,5,138949,52.20693813184577,2436,49.5928338762215,50.37706515290878
사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,2189,136,27,1,9,163068,56.55680699927249,2325,47.333061889250814,50.10018542225731
00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,2051,0,39,0,0,181548,59.6755245064844,2051,41.75488599348534,47.131077547385054
마리아 (Maria),화사 (HWASA),María,1983,119,21,0,16,162432,56.446407440163696,2102,42.79315960912052,46.889133958433476
포장마차,황인욱,포장마차,2043,0,48,0,0,167620,57.340757849151316,2043,41.59201954397394,46.31664103552715
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,1984,0,34,0,0,182706,59.86554150589598,1984,40.390879478827365,46.23327808694795
취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),1604,107,18,0,12,261060,71.56005689985635,1711,34.833061889250814,45.851160392432476
사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,1740,0,43,0,0,236160,68.06183917130684,1740,35.42345276872964,45.2149686895028
나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,1895,26,29,0,8,179125,59.27596215471978,1921,39.10830618892508,45.15860297866349
FIESTA,IZ*ONE (아이즈원),BLOOM*IZ,2020,4,35,0,4,147190,53.732823620956,2024,41.20521172638437,44.96349529475586
주저하는 연인들을 위해,잔나비,전설,1165,0,42,0,0,453243,94.29009278775733,1165,23.71742671009772,44.8892265333956
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,Dingo X DAMOIM (Part 2),1748,136,25,1,10,167116,57.25448682355405,1884,38.355048859934854,44.02488024902061
돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3,1976,6,33,0,6,131327,50.754846903702614,1982,40.350162866449516,43.47156807762544
친구,방탄소년단,MAP OF THE SOUL : 7,1727,0,37,0,0,178996,59.25461400029711,1727,35.15879478827362,42.38754055188066
반만,진민호,반만,2130,0,39,0,0,75683,38.53005950699996,2130,43.36319218241043,41.91325237978729
오래된 노래,스탠딩 에그,오래된 노래,1316,11,16,0,11,291365,75.59954836510904,1327,27.01547231270358,41.59069512842522
다시 만날까 봐,V.O.S,다시 만날까 봐,1882,0,36,0,0,104527,45.280869045595026,1882,38.314332247557005,40.40429328696841
니 소식,송하예,니 소식,1462,0,28,0,0,208921,64.01644579097753,1462,29.76384364820847,40.03962429103919
"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4,1643,8,25,0,8,149706,54.19012011812908,1651,33.61156351791531,39.78513049797944
WANNABE,ITZY (있지),IT'z ME,1719,3,32,0,3,128177,50.14245133794088,1722,35.05700325732899,39.58263768151255
Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,1701,48,21,0,10,121626,48.84428114966443,1749,35.60667752442997,39.5779586120003
사랑이 식었다고 말해도 돼,먼데이 키즈,사랑이 식었다고 말해도 돼,1664,0,38,0,0,134697,51.40193545514272,1664,33.876221498371336,39.13393568540275
기억해줘요 내 모든 날과 그때를,거미 (GUMMY),호텔 델루나 OST Part.7,1440,0,27,0,0,184595,60.1742210505835,1440,29.31596091205212,38.57343895361153
홀로,이하이,홀로,1525,3,18,0,3,158663,55.78768515152903,1528,31.107491856677527,38.511549845132976
화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4,1724,2,33,0,2,94842,43.13212570135163,1726,35.13843648208469,37.53654324786477
Into the I-LAND,아이유,I-LAND Part.1 Signal Song,1509,3,23,0,3,142954,52.95398722378466,1512,30.781758957654727,37.433427437493705
덤더럼 (Dumhdurum),Apink (에이핑크),LOOK,1689,15,27,0,6,92560,42.61006369031014,1704,34.69055374592834,37.06640672924288
Filter,방탄소년단,MAP OF THE SOUL : 7,1447,0,36,0,0,150502,54.33399594458545,1447,29.458469055374593,36.92112712213785
그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,1108,0,26,0,0,252581,70.38836048470498,1108,22.55700325732899,36.90641042554178
새 사랑,송하예,새 사랑,1622,4,26,0,4,104823,45.34493699877349,1626,33.10260586319218,36.77530520386657
눈누난나 (NUNU NANA),제시 (Jessi),NUNA,1516,84,17,0,11,104542,45.284117912730096,1600,32.57328990228013,36.386538305415115
있어줘요,장덕철,있어줘요,1637,2,27,0,2,92079,42.49920512912411,1639,33.36726384364821,36.10684622929098
Moon,방탄소년단,MAP OF THE SOUL : 7,1349,0,36,0,0,157164,55.52352716793519,1349,27.463355048859935,35.881406684582515
사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),972,0,26,0,0,270527,72.84601830155113,972,19.78827361563518,35.705597021409964
빌었어,창모 (CHANGMO),Boyhood,1278,0,23,0,0,164600,56.82185739037428,1278,26.017915309446256,35.25909793372466
보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),1529,4,21,0,4,97368,43.70273684099775,1533,31.20928338762215,34.95731942363483
사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,1607,0,24,0,0,80159,39.653055301608745,1607,32.715798045602604,34.79697522240444
"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,1427,113,23,1,5,85383,40.92476699053768,1540,31.351791530944624,34.22368416882254
나의 오랜 연인에게,다비치,나의 오랜 연인에게,1466,13,24,0,4,93592,42.846946216046724,1479,30.109934853420196,33.931038262208155
BAND,창모 (CHANGMO),BAND,1270,0,25,0,0,141235,52.63464250114376,1270,25.855048859934854,33.888926952297524
워커홀릭,볼빨간사춘기,Two Five,1181,0,24,0,0,148148,53.90740259143152,1181,24.043159609120522,33.00243250381382
Lovesick Girls,BLACKPINK,THE ALBUM,757,71,8,0,7,249621,69.97470394893193,828,16.856677524429966,32.79208545178055
불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,1242,22,21,0,3,122899,49.09923040848428,1264,25.732899022801302,32.74279843850619
MORE & MORE,TWICE (트와이스),MORE & MORE,1442,4,24,0,4,82021,40.11095852139766,1446,29.438110749185668,32.639965080849265
비,폴킴,비,659,0,30,0,0,296183,76.22204109343626,659,13.416123778501628,32.25789897298202
시차,방탄소년단,MAP OF THE SOUL : 7,1182,0,34,0,0,134051,51.27852677040221,1182,24.063517915309447,32.22802057183728
덤디덤디 (DUMDi DUMDi),i-dle (아이들),덤디덤디 (DUMDi DUMDi),1185,0,16,0,0,128589,50.22297325585164,1185,24.12459283387622,31.954106960468845
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),1163,10,13,0,10,127493,50.00848301613121,1173,23.88029315960912,31.718750116565744
When We Disco (Duet with 선미),박진영,When We Disco,1341,12,15,0,12,83875,40.561758685568314,1353,27.544788273615634,31.449879397201435
IDOL,방탄소년단,LOVE YOURSELF 結 'Answer',609,0,18,0,0,277879,73.8292359590637,609,12.398208469055374,30.827516716057872
술이 문제야,장혜진,술이 문제야,979,0,22,0,0,154263,55.00870193932242,979,19.930781758957654,30.454157813067084
거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,1231,0,19,0,0,93028,42.71764993905271,1231,25.061074918566774,30.358047424712552
가을밤 떠난 너,케이시 (Kassy),Rewind,944,0,19,0,0,154870,55.11682086673498,944,19.218241042345277,29.987814989662187
헤어진 우리가 지켜야 할 것들,김나영,헤어진 우리가 지켜야 할 것들,1234,2,21,0,2,86102,41.096717033386334,1236,25.1628664495114,29.943021624673882
We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7,996,0,34,0,0,140150,52.43207695155414,996,20.27687296416938,29.923434160384808
시간의 바깥,아이유,Love poem,929,2,17,0,2,154172,54.99247468351404,931,18.95358306188925,29.765250548376684
이 번호로 전화해줘,바이브,이 번호로 전화해줘,1283,4,20,0,4,71987,37.57747096570956,1287,26.20114006514658,29.61403933531547
Obsession,EXO,OBSESSION - The 6th Album,1059,0,35,0,0,115411,47.57996436247945,1059,21.559446254071663,29.365601686593997
여름 안에서 by 싹쓰리 (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡)",여름 안에서 by 싹쓰리,1115,5,18,0,5,100578,44.4172849223463,1120,22.80130293159609,29.286097528821152
그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡)",그 여름을 틀어줘,1143,14,17,0,5,89858,41.983523515723476,1157,23.554560260586317,29.083249237127465
DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,668,223,7,2,6,151502,54.51420630704759,891,18.139250814332247,29.051737462146846
Inner Child,방탄소년단,MAP OF THE SOUL : 7,939,0,28,0,0,136904,51.821332868915924,939,19.116449511400653,28.927914518655236
이별주,황인욱,이별주,1268,0,24,0,0,66033,35.989931879557204,1268,25.814332247557005,28.86701213715706
밤편지,아이유,밤편지,31,0,6,0,0,455673,94.54251658750155,31,0.6311074918566776,28.804530220550138
마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,1183,0,22,0,0,77193,38.91253014549999,1183,24.08387622149837,28.532472398698857
그때가 좋았어,케이시 (Kassy),그때가 좋았어,506,0,19,0,0,255241,70.75802935720125,506,10.301302931596092,28.43832085927764
취했나봐,황인욱,취했나봐,1285,0,26,0,0,57704,33.643678172970866,1285,26.16042345276873,28.40539986882937
"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",1141,3,22,0,3,79299,39.43976928341088,1144,23.289902280130292,28.134862381114466
소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA,451,0,13,0,0,265736,72.19808977699054,451,9.181596091205211,28.08654419694081
꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,907,0,22,0,0,127453,50.000637502090306,907,18.46498371335505,27.925679849975626
너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,704,0,22,0,0,181214,59.620605694795884,704,14.332247557003258,27.918754998341047
Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album,849,1,19,0,1,136023,51.6543243072022,850,17.304560260586317,27.60948947457108
그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5,1229,0,25,0,0,56947,33.422269394862006,1229,25.02035830618892,27.540931632790844
헤어지자 (Prod. 정키),휘인 (Whee In),soar,869,0,20,0,0,126773,49.86707491229337,869,17.691368078175895,27.344080128411136
벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,257,0,6,0,0,314585,78.5542191155257,257,5.232084690553746,27.22872501804533
"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12,1065,2,20,0,2,81761,40.04733379727286,1067,21.722312703583064,27.21981903169
어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트,1041,0,35,0,0,81241,39.919780132160184,1041,21.19299674267101,26.81103175951776
Feel Special,TWICE (트와이스),Feel Special,846,0,18,0,0,122616,49.04266733436071,846,17.22312703583062,26.768989125389645
차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),963,0,20,0,0,86217,41.12415278069635,963,19.605048859934854,26.0607800361633
내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8,1019,0,22,0,0,70218,37.11288689668519,1019,20.745114006514658,25.655445873565817
Way Back Home,숀 (SHAUN),Take,12,0,3,0,0,364411,84.54661986166691,12,0.24429967426710095,25.534995730487044
Louder than bombs,방탄소년단,MAP OF THE SOUL : 7,760,0,25,0,0,119480,48.41145297617068,760,15.472312703583063,25.354054785359345
찐이야,영탁,내일은 미스터트롯 결승전 베스트,999,0,28,0,0,69784,36.9980163616692,999,20.337947882736156,25.335968426416066
Not Shy,ITZY (있지),Not Shy,962,0,14,0,0,76469,38.729618210900504,962,19.58469055374593,25.328168850892304
노래방에서,장범준,장범준 3집,415,0,23,0,0,213224,64.67233679518559,415,8.448697068403908,25.31578898643841
Ice Cream (with Selena Gomez),BLACKPINK,Ice Cream (with Selena Gomez),853,0,13,0,0,96279,43.457655796511446,853,17.365635179153095,25.1932413643606
깡 Official Remix,식케이 (Sik-K),깡 Official Remix,969,4,16,0,4,70010,37.05787816939975,973,19.808631921824105,24.983405796096797
욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7,727,0,24,0,0,120241,48.5653809937039,727,14.800488599348535,24.929956317655144
허전해,폴킴,"정규 2집 '마음, 하나'",887,0,18,0,0,82764,40.29222462179588,887,18.057817589576548,24.728139699242348
어떻게 지내 (답가),런치,어떻게 지내 (답가),963,0,23,0,0,68052,36.53599650431127,963,19.605048859934854,24.684333153247778
괜찮아도 괜찮아 (That's okay),도경수(D.O.),괜찮아도 괜찮아 (That's okay) - SM STATION,93,0,5,0,0,306620,77.55338351155555,93,1.8933224755700326,24.591340786365684
LION,i-dle (아이들),퀸덤 <FINAL 컴백 싱글>,712,0,16,0,0,115392,47.576047679784985,712,14.495114006514658,24.419394108495755
솔직하게 말해서 나,김나영,솔직하게 말해서 나,473,0,16,0,0,174184,58.452708562795166,473,9.629478827361563,24.27644774799164
나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2,656,0,19,0,0,122362,48.99184486705483,656,13.355048859934854,24.046087662070846
가을 타나 봐,바이브,가을 타나 봐,398,0,9,0,0,190694,61.160217991398014,398,8.102605863192181,24.01988950165393
십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,858,3,14,0,3,77989,39.11264500405739,861,17.528501628664493,24.00374464128236
Happy,태연 (TAEYEON),Happy,748,2,14,0,2,98735,44.008450291116716,750,15.268729641693813,23.890645836520683
헤어져줘서 고마워,벤,헤어져줘서 고마워,581,0,16,0,0,137376,51.910587467587696,581,11.828175895765472,23.852899367312137
비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비),24,0,3,0,0,306811,77.57753456201615,24,0.4885993485342019,23.615279912578785
unlucky,아이유,Love poem,573,1,13,0,1,133937,51.256717923692776,574,11.685667752442995,23.556982803817927
어떤 날엔,김재환,사랑의 불시착 OST Part 5,900,0,17,0,0,64987,35.70374358958622,900,18.322475570032573,23.536855975898664
잠이 오질 않네요,장범준,잠이 오질 않네요,395,13,5,0,4,174987,58.5872891012539,408,8.306188925081432,23.39051897793317
둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10,895,13,15,0,4,59665,34.21057178100665,908,18.485342019543975,23.202910947982776
우리 만남이,폴킴,"정규 2집 '마음, 둘'",862,2,17,0,2,66923,36.2316582223111,864,17.58957654723127,23.182201049755218
PLAY (Feat. 창모),청하,PLAY,893,0,18,0,0,61108,34.6217921956412,893,18.179967426710096,23.112514857389428
Flower,윤미래,사랑의 불시착 OST Part 2,869,0,17,0,0,64061,35.448459554745156,869,17.691368078175895,23.018495521146672
가을 아침,아이유,꽃갈피 둘,12,0,2,0,0,293192,75.83620089819877,12,0.24429967426710095,22.9218700414466
Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7,597,0,23,0,0,115477,47.593567176852474,597,12.153908794788274,22.785806309407533
환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),Oneiric Diary (幻想日記),753,1,15,0,1,78402,39.21607108402902,754,15.350162866449512,22.509935331723362
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,316,0,7,0,0,180199,59.45340037225366,316,6.4332247557003255,22.339277440666326
Left & Right,세븐틴 (SEVENTEEN),SEVENTEEN 7th Mini Album '헹가래',530,0,12,0,0,120970,48.71238019739798,530,10.789902280130294,22.166645655310596
봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고,135,0,5,0,0,231316,67.36019678575992,135,2.7483713355048858,22.1319189705814
힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,489,52,5,0,5,116536,47.81130127348107,541,11.013843648208468,22.05308093579025
밤하늘의 별을(2020),경서,밤하늘의 별을(2020),78,0,1,0,0,244785,69.29356591320713,78,1.5879478827361564,21.89963329187745
Monster,레드벨벳-아이린&슬기,Monster - The 1st Mini Album,727,0,13,0,0,74605,38.254671569120966,727,14.800488599348535,21.836743490280263
Life Goes On,방탄소년단,BE,68,0,1,0,0,245666,69.41815034733601,68,1.3843648208469055,21.794500478793637
첫 줄,신용재 (2F),Dear,812,0,21,0,0,58595,33.90242701376425,812,16.530944625407166,21.74238934191429
Outro : Ego,방탄소년단,MAP OF THE SOUL : 7,507,0,20,0,0,111844,46.83891818076254,507,10.321661237785017,21.276838320678273
Make It Right,방탄소년단,MAP OF THE SOUL : PERSONA,216,0,6,0,0,185414,60.30756199793706,216,4.397394136807818,21.17044449514659
신난다 (Feat. 마마무),비룡,두리쥬와 X LINDA X 신난다,827,0,16,0,0,47948,30.668021475906272,827,16.83631921824104,20.985829895540608
아주 NICE,세븐틴 (SEVENTEEN),Love&Letter Repackage Album,125,0,5,0,0,205495,63.48938789474863,125,2.544788273615635,20.828168159955535
크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT,258,0,6,0,0,165123,56.91205867374819,258,5.252442996742671,20.750327699844327
나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),248,0,5,0,0,166873,57.21284538415401,248,5.048859934853421,20.698055569643593
Respect,방탄소년단,MAP OF THE SOUL : 7,483,0,20,0,0,107292,45.87585599835841,483,9.833061889250814,20.645900121983093
Sweet Night,V,이태원 클라쓰 OST Part.12,431,0,10,0,0,118854,48.28446364983052,431,8.774429967426709,20.627440072147852
"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album,533,0,13,0,0,93001,42.711450406395244,533,10.85097719869707,20.409119161006522
우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album,526,0,13,0,0,94054,42.95256913410508,526,10.708469055374593,20.38169907899374
LINDA (Feat. 윤미래),린다G,두리쥬와 X LINDA X 신난다,728,1,14,0,1,56094,33.17101154467309,729,14.841205211726386,20.3401471116104
영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6,601,0,17,0,0,78278,39.18504689411458,601,12.235342019543975,20.320253481915152
"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운,71,0,5,0,0,206038,63.573214736409234,71,1.4454397394136806,20.083772238512346
가을밤에 든 생각,잔나비,잔나비 소곡집 l,182,0,3,0,0,171922,58.0719270386456,182,3.705211726384365,20.015226320062734
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI),쇼미더머니 9 Episode 1,12,0,1,0,0,222715,66.0960101610128,12,0.24429967426710095,19.99981282029081
샤넬 (Feat. 박봄),MC몽,CHANNEL 8,760,1,14,0,1,47217,30.433346129968207,761,15.492671009771989,19.974873545830853
사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album",197,0,6,0,0,166314,57.116937690107896,197,4.010586319218241,19.942491730485138
내가 저지른 사랑,임창정,I'M,13,0,2,0,0,220667,65.79141177761257,13,0.26465798045602607,19.922684119602987
영웅 (英雄; Kick It),NCT 127,NCT #127 Neo Zone - The 2nd Album,247,0,13,0,0,152335,54.66386797889095,247,5.028501628664495,19.91911153373243
벗,닐로(Nilo),벗,562,0,16,0,0,80082,39.634005545186774,562,11.441368078175895,19.89915931827916
하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다,156,0,6,0,0,166325,57.11882651463929,156,3.175895765472313,19.358774990222404
숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON),겨울왕국 2 (한국어 버전),529,0,13,0,0,78994,39.36384954580077,529,10.769543973941369,19.347835645499188
바램,임영웅,내일은 미스터트롯 예선곡 베스트,548,0,29,0,0,71751,37.51582397761245,548,11.156351791530945,19.064193447355393
그 사람,아이유,Love poem,404,0,9,0,0,99545,44.18859934361347,404,8.224755700325732,19.01390879331205
너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2,508,0,20,0,0,75771,38.552453308749314,508,10.342019543973942,18.805149673406554
버릇처럼 셋을 센다,KCM,버릇처럼 셋을 센다,632,0,17,0,0,54282,32.63085329627545,632,12.866449511400651,18.79577064686309
Dionysus,방탄소년단,MAP OF THE SOUL : PERSONA,178,0,6,0,0,149556,54.162965043654054,178,3.6237785016286646,18.78553446423628
자장가,아이유,Love poem,321,0,7,0,0,114312,47.35288262534358,321,6.535016286644951,18.78037618825454
첫 겨울이니까,성시경,첫 겨울이니까,564,10,10,0,1,60891,34.56026497705507,574,11.685667752442995,18.548046919826618
우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2,27,0,2,0,0,183970,60.072266024400044,27,0.5496742671009772,18.406451794290696
Goodbye,박효신,Goodbye,25,0,3,0,0,180715,59.53846195525837,25,0.508957654723127,18.2178089448837
Nerdy Love (Feat. 백예린),pH-1,Nerdy Love (Feat. 백예린),135,0,6,0,0,150210,54.2812616627851,135,2.7483713355048858,18.20823843368895
밤새 (취향저격 그녀 X 카더가든),카더가든,밤새 (취향저격 그녀 X 카더가든),456,0,11,0,0,76562,38.753162130881144,456,9.283387622149837,18.12431997476923
서면역에서,순순희,서면역에서,514,0,9,0,0,65780,35.920919482634986,514,10.464169381107492,18.10119441156574
Pretty Savage,BLACKPINK,THE ALBUM,330,0,7,0,0,101502,44.62084703623906,330,6.718241042345277,18.08902284051341
Zombie,DAY6 (데이식스),The Book of Us : The Demon,116,0,3,0,0,152479,54.689698344998206,116,2.3615635179153096,18.060003966040178
이별행동,이우,이별행동,461,0,16,0,0,72904,37.81605222018066,461,9.385179153094462,17.91444107322032
FANCY,TWICE (트와이스),FANCY YOU,169,0,10,0,0,135520,51.558729483193424,169,3.440553745928339,17.876006467107864
0310,백예린 (Yerin Baek),Every letter I sent you.,153,0,5,0,0,139050,52.22590891573324,153,3.1148208469055376,17.84814726755385
달라달라,ITZY (있지),IT'z Different,34,0,4,0,0,166114,57.08258452715192,34,0.6921824104234527,17.609303045441994
