year,week,week_start,week_end,rank,title,artist,album,like_cnt
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,1,Nxde,i-dle (아이들),I love,163958
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,2,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',342975
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,3,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,170373
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,4,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),153436
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,5,After LIKE,IVE (아이브),After LIKE,250975
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,6,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',315188
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,7,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,121358
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,8,Attention,NewJeans,NewJeans 1st EP 'New Jeans',260284
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,9,Shut Down,BLACKPINK,BORN PINK,132923
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,10,Monologue,테이,Monologue,100303
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,11,LOVE DIVE,IVE (아이브),LOVE DIVE,263036
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,12,Pink Venom,BLACKPINK,BORN PINK,164957
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,13,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,104270
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,14,딱 10CM만,10CM,딱 10CM만,128474
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,15,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,135953
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,16,우린 그렇게 사랑해서,강민경 (다비치),우린 그렇게 사랑해서,80762
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,17,그라데이션,10CM,5.3,194394
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,18,TOMBOY,i-dle (아이들),I NEVER DIE,245784
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,19,해요 (2022),#안녕,해요 (2022),110656
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,20,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',155769
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,21,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),235805
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,22,내가 아니라도,주호,내가 아니라도,115854
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,23,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,240782
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,24,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,237232
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,25,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집,138730
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,26,나의 X에게,경서,나의 X에게,162537
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,27,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,322134
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,28,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,119613
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,29,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,114463
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,30,취중고백,김민석 (멜로망스),취중고백,205169
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,31,ELEVEN,IVE (아이브),ELEVEN,201672
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,32,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,130265
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,33,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,140603
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,34,LOVE me,BE'O (비오),LOVE me,170271
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,35,LAW (Prod. Czaer),윤미래,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),47679
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,36,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),222936
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,37,SNEAKERS,ITZY (있지),CHECKMATE,82538
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,38,우리들의 블루스,임영웅,IM HERO,125417
2022,2022.10.31 ~ 2022.11.06,2022-10-31,2022-11-06,39,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,71591
