title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",4896,1202,53,11,29,229386,67.07872766761687,6098,100.0,101.12361830028506
Drowning,WOODZ,OO-LI,5227,571,56,2,46,295867,76.18151872569776,5798,95.08035421449655,91.4107035678569
APT.,로제 (ROSÉ),APT.,4935,603,56,4,27,220555,65.77484239505486,5538,90.81666120039357,87.30411555879195
Whiplash,aespa,Whiplash - The 5th Mini Album,5200,218,56,0,42,152272,54.65267055927718,5418,88.84880288619219,78.58996318811768
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,4170,1,56,0,1,495297,98.56760655222516,4171,68.39947523778288,77.44991463211556
한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,4450,0,56,0,0,367301,84.88137725252363,4450,72.97474581830107,76.54673524856784
HAPPY,DAY6 (데이식스),Fourever,4872,17,56,0,17,213258,64.67761967804212,4889,80.17382748442112,75.52496514250741
나는 반딧불,황가람,나는 반딧불,4982,59,56,0,32,158266,55.71795591161507,5041,82.66644801574287,74.58190038450452
TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch,3224,916,39,9,16,155640,55.253777351524825,4140,67.89111183994753,73.0999114934207
예뻤어,DAY6 (데이식스),Every DAY6 February,4028,0,56,0,0,380427,86.38473961566075,4028,66.05444408002624,72.15353274071659
소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,4460,0,56,0,0,194171,61.71539968120005,4460,73.1387340111512,69.71173371216585
Welcome to the Show,DAY6 (데이식스),Fourever,4280,4,56,0,4,198004,62.32156406771495,4284,70.25254181698918,67.8732484922069
천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),4461,0,56,0,0,145468,53.41768911414341,4461,73.15513283043622,67.23389971554838
너에게 닿기를,10CM,너에게 닿기를,3069,737,37,7,25,146972,53.69312292372618,3806,62.413906198753686,66.79767121624543
내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,4583,8,56,0,8,95598,43.30377579540236,4591,75.28697933748771,65.69201827486211
Supernova,aespa,Armageddon - The 1st Album,4130,3,56,0,3,187204,60.59808840006556,4133,67.77632010495245,65.62285059348638
주저하는 연인들을 위해,잔나비,전설,3032,0,56,0,0,453245,94.29048577821483,3032,49.72122007215481,63.09199978397281
너의 모든 순간,성시경,별에서 온 그대 OST Part.7,3391,0,56,0,0,322136,79.4915550846773,3391,55.60839619547393,62.77334386223494
toxic till the end,로제 (ROSÉ),rosie,4021,11,51,0,11,152182,54.636517007187436,4032,66.12003935716628,62.674982652172616
REBEL HEART,IVE (아이브),IVE EMPATHY,3723,262,45,2,17,119896,48.495753263259225,3985,65.34929485077075,62.29323237451729
오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,3758,15,46,0,15,184689,60.1896582116829,3773,61.87274516234831,61.36781907714868
Love wins all,아이유,The Winning,3586,0,56,0,0,222391,66.04804484019196,3586,58.80616595605116,60.9787296212934
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2858,0,56,0,0,438254,92.71805371725954,2858,46.8678255165628,60.62289397677182
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),3684,0,56,0,0,171104,57.93372366488718,3684,60.41325024598228,59.66939227165375
PO￦ER,G-DRAGON,PO￦ER,3645,43,56,0,16,163916,56.70378328431571,3688,60.47884552312234,59.34632685148034
모르시나요(PROD.로코베리),조째즈,모르시나요,3790,175,41,0,34,106644,45.737200158872476,3965,65.02131846507051,59.23608297321109
청춘만화,이무진,만화 (滿花),3980,0,56,0,0,98805,44.024134184431645,3980,65.2673007543457,58.89435078337148
첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,3492,0,56,0,0,173171,58.28260364948814,3492,57.264676943260085,57.5700549551285
like JENNIE,제니 (JENNIE),Ruby,3325,291,38,2,20,109326,46.308753537338475,3616,59.29813053460151,57.4013174354226
고민중독,QWER,1st Mini Album 'MANITO',3516,0,56,0,0,155783,55.279154748382894,3516,57.65824860610036,56.94452044878511
내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',3699,7,56,0,7,106275,45.65800371432745,3706,60.774024270252546,56.23921810347501
뛰어(JUMP),BLACKPINK,뛰어(JUMP),1908,1004,20,9,19,95601,43.30445525683566,2912,47.75336175795343,55.418689807618094
UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,3430,19,56,0,10,118017,48.1142419296302,3449,56.55952771400459,54.025941978692266
