title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
Dynamite,방탄소년단,Dynamite (DayTime Version),5148,573,56,4,30,466634,95.67284750181236,5721,100.0,102.7018542505437
Celebrity,아이유,IU 5th Album 'LILAC',3823,717,43,6,21,349279,82.77262871596463,4540,79.356755811921,86.38151768313409
롤린 (Rollin'),브레이브걸스,Rollin',3421,967,38,9,19,301506,76.90392219354601,4388,76.69987764376857,85.7610910087018
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI),쇼미더머니 9 Episode 1,3312,837,51,8,17,222715,66.0960101610128,4149,72.52228631358155,78.59440346781092
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,3990,0,56,0,0,495320,98.56970175630742,3990,69.74305191400106,78.39104686669296
밤하늘의 별을(2020),경서,밤하늘의 별을(2020),4312,307,53,1,19,244785,69.29356591320713,4619,80.73763328089495,78.30441307058861
Lovesick Girls,BLACKPINK,THE ALBUM,4366,57,56,0,20,249621,69.97470394893193,4423,77.31165880090893,75.11057234531583
에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,3953,4,56,0,4,397058,88.25259528078917,3957,69.16622968012585,74.89213936032485
Blueming,아이유,Love poem,3914,0,56,0,0,369754,85.16417639955385,3914,68.41461282992483,73.43948190081355
취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),4170,19,56,0,19,261060,71.56005689985635,4189,73.22146477888481,72.72304241517627
신호등,이무진,신호등,2155,1013,23,9,20,319012,79.10501556073693,3168,55.37493445201888,71.49395878463429
잠이 오질 않네요,장범준,잠이 오질 않네요,4256,47,56,0,20,174989,58.587623909677944,4303,75.21412340499913,70.22617355640277
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,3419,0,56,0,0,416056,90.33923426888259,3419,59.76227932179688,68.93536580592259
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,3358,0,56,0,0,438255,92.71797762621277,3358,58.6960321622094,68.9026158014104
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,3567,0,56,0,0,320125,79.24289003251594,3567,62.34923964341898,67.41733476014807
오래된 노래,스탠딩 에그,오래된 노래,3598,9,56,0,9,291365,75.59954836510904,3607,63.048418108722245,66.81375718563828
봄날,방탄소년단,YOU NEVER WALK ALONE,3002,0,56,0,0,509799,100.0,3002,52.47334382101031,66.73134067470721
라일락,아이유,IU 5th Album 'LILAC',3116,326,35,2,15,267734,72.46900085043715,3442,60.16430693934627,65.85571511267352
METEOR,창모 (CHANGMO),Boyhood,3274,0,56,0,0,312720,78.32102077587624,3274,57.22775738507254,63.55573640231365
Butter,방탄소년단,Butter,2514,444,27,4,20,301147,76.85812421398116,2958,51.70424750917672,63.25041052061805
아로하,조정석,슬기로운 의사생활 OST Part 3,3395,0,56,0,0,265993,72.23299363836122,3395,59.34277224261493,63.209838661338814
내 손을 잡아,아이유,최고의 사랑 OST Part.4,3359,11,43,0,11,221716,65.94760496634862,3370,58.90578570180038,61.01833148116485
Life Goes On,방탄소년단,BE,3270,8,53,0,8,245666,69.41815034733601,3278,57.29767523160286,60.933817766322804
Dolphin,오마이걸 (OH MY GIRL),NONSTOP,3330,0,54,0,0,206794,63.68974019299597,3330,58.20660723649712,59.851547123446764
Next Level,aespa,Next Level,2631,359,27,1,27,274213,73.34061213328073,2990,52.26359028141934,59.58669683697775
바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,2082,697,22,6,19,193864,61.66647090822913,2779,48.57542387694459,58.50273798632995
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2870,0,56,0,0,294537,76.00994878091004,2870,50.166054885509524,57.919223054129674
밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,3379,5,46,0,5,140247,52.450218342060914,3384,59.150498164656526,57.14041421787783
나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),3253,0,53,0,0,166873,57.21284538415401,3253,56.86068869078832,56.96633569879802
어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,2842,0,52,0,0,227399,66.78743824801386,2842,49.67662995979724,54.80987244626222
늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2580,0,52,0,0,227384,66.78523545007943,2580,45.097011012060825,51.603478343466406
힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,2941,64,45,0,17,116536,47.81130127348107,3005,52.52578220590806,51.11143792617996
헤픈 우연,헤이즈 (Heize),HAPPEN,2451,67,27,0,12,212389,64.54558189586396,2518,44.01328439084076,50.17297364234771
How You Like That,BLACKPINK,How You Like That,2507,0,48,0,0,206271,63.60915076197136,2507,43.821010312882365,49.757452447609055
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2480,0,56,0,0,182706,59.86554150589598,2480,43.349064848802655,48.30400784593065
그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,2779,0,48,0,0,106595,45.7266017599961,2779,48.57542387694459,47.720777241860034
Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,2410,70,28,0,13,170937,57.90533109835722,2480,43.349064848802655,47.715944723669026
운전만해 (We Ride),브레이브걸스,We Ride,2564,30,36,0,12,137643,51.961008934421514,2594,45.341723474916975,47.32750911276833
"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,2385,0,35,0,0,185533,60.326911800943165,2385,41.68851599370739,47.28003473587812
마음을 드려요,아이유,사랑의 불시착 OST Part 11,2070,0,47,0,0,265846,72.21303123802731,2070,36.182485579444155,46.9916492770191
사실 나는 (Feat.전건호),경서예지,사실 나는,2692,0,56,0,0,106925,45.79732795623613,2692,47.05471071490998,46.67749588730782
멜로디,ASH ISLAND,멜로디,2356,0,38,0,0,160417,56.095200608688565,2356,41.18161160636252,45.65568830706033
추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,2517,0,42,0,0,121189,48.75645388251401,2517,43.995804929208184,45.42399961519993
ASAP,STAYC(스테이씨),STAYDOM,2322,4,32,0,4,158510,55.76078040833917,2326,40.65722775738507,45.1882935526713
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),2459,4,40,0,4,127493,50.00848301613121,2463,43.05191400104877,45.1388847055735
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,2117,0,47,0,0,193571,61.619852897414496,2117,37.004020276175495,44.388770062547195
"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",2337,15,37,0,6,134401,51.34542587841927,2352,41.1116937598322,44.18181339540831
Permission to Dance,방탄소년단,Butter / Permission to Dance,1836,16,20,0,16,232541,67.5383238550023,1852,32.37196294354134,42.921871216979625
Love poem,아이유,Love poem,1446,0,42,0,0,353765,83.30248213246847,1446,25.27530152071316,42.68345570423975
OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,1722,52,21,0,14,244795,69.29498129524094,1774,31.008564936199967,42.49448984391226
Timeless,SG 워너비,Sg Wanna Be+,2163,5,31,0,5,137372,51.90983171745165,2168,37.89547281943716,42.0997804888415
Weekend,태연 (TAEYEON),Weekend,1859,15,20,0,15,207699,63.828951897271814,1874,32.75651109945814,42.07824333880224
너를 만나,폴킴,너를 만나,1449,0,42,0,0,320719,79.31637454933377,1449,25.32773990561091,41.52433029872776
너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,2004,0,48,0,0,156310,55.3724694138573,2004,35.02884111169376,41.13192960234282
다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),1711,8,26,0,8,222941,66.12953711409479,1719,30.04719454640797,40.87189731671401
시작,가호 (Gaho),이태원 클라쓰 OST Part.2,1529,0,39,0,0,272297,73.08393769041527,1529,26.726096836217444,40.63344909247679
