title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
Supernova,aespa,Armageddon - The 1st Album,2460,1556,25,15,25,187203,60.59798598291534,4016,91.98350893266148,97.56785204773763
Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,3583,658,53,6,17,125749,49.665413800731244,4241,97.13696747595053,88.89550137338473
Love wins all,아이유,The Winning,3545,448,41,4,15,222390,66.04796112342561,3993,91.45671094823638,87.83408600079314
헤어지자 말해요,박재정,1집 Alone,4287,16,53,0,16,193508,61.61000589948596,4303,98.55703160787907,87.47292389536113
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',3960,0,53,0,0,315188,78.62970122486148,3960,90.70087036188731,87.07951962077955
비의 랩소디,임재현,비의 랩소디,4025,341,48,3,17,109481,46.34161512751638,4366,100.0,86.90248453825491
I AM,IVE (아이브),I've IVE,4133,1,53,0,1,238147,68.34776943428731,4134,94.68621163536419,86.78467897504112
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),4208,11,53,0,11,171102,57.93344189625338,4219,96.63307375171783,85.0231841950785
너의 모든 순간,성시경,별에서 온 그대 OST Part.7,3746,0,53,0,0,322134,79.4913862841366,3746,85.7993586807146,83.9069669617412
Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,3946,9,53,0,9,230704,67.27122721001447,3955,90.58634906092533,83.59181250565207
예뻤어,DAY6 (데이식스),Every DAY6 February,3588,4,48,0,4,380427,86.38482434043031,3592,82.27210261108566,83.50591912988905
한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,3594,17,45,0,17,367301,84.88146050281946,3611,82.70728355474118,83.35953663916466
To. X,태연 (TAEYEON),To. X - The 5th Mini Album,3941,142,49,0,20,179412,59.32360465252229,4083,93.518094365552,83.2597474516431
나는 아픈 건 딱 질색이니까,i-dle (아이들),2,3349,393,37,3,21,175448,58.664584513448595,3742,85.70774163994503,80.59479450199609
Ditto,NewJeans,NewJeans 'OMG',3543,0,53,0,0,311054,78.11234636520373,3543,81.14979386165827,80.2385596127219
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,3671,0,53,0,0,237234,68.21662892732543,3671,84.08153916628493,79.32206609459706
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,3050,3,53,0,3,495297,98.56770322575555,3053,69.92670636738433,78.51900542489568
인사,범진,인사,3788,10,53,0,10,162457,56.45091721992662,3798,86.9903802107192,77.82854131348142
Drama,aespa,Drama - The 4th Mini Album,3858,117,52,0,14,111905,46.85182732577263,3975,91.04443426477324,77.78665218307306
에피소드,이무진,에피소드,3850,8,47,0,8,141342,52.654731724842065,3858,88.36463582226294,77.65166459303667
첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,3561,146,40,0,16,173168,58.282155967962154,3707,84.90609253321118,76.91891156363647
