title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
Ditto,NewJeans,NewJeans 'OMG',4231,1442,46,14,28,311054,78.11234636520373,5673,100.0,107.43370390956112
사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',4699,695,53,6,25,342975,82.02250347575702,5394,95.08196721311475,97.16412809190743
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',4949,214,53,0,41,315188,78.62970122486148,5163,91.01004759386568,87.29594368316441
After LIKE,IVE (아이브),After LIKE,4491,18,53,0,18,250975,70.1644329445676,4509,79.48175568482284,76.68655886274627
Attention,NewJeans,NewJeans 1st EP 'New Jeans',4435,21,53,0,21,260284,71.45383196987078,4456,78.54750572889124,76.4194036011851
LOVE DIVE,IVE (아이브),LOVE DIVE,4296,6,53,0,6,263036,71.83058179106693,4302,75.83289264939185,74.63219939189437
너의 모든 순간,성시경,별에서 온 그대 OST Part.7,3953,0,53,0,0,322134,79.4913862841366,3953,69.68094482637053,72.62407726370034
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,4079,0,53,0,0,237232,68.21634137675214,4079,71.90199189141548,70.79629673701646
OMG,NewJeans,NewJeans 'OMG',3835,236,44,0,18,225437,66.49888851855356,4071,71.76097303014278,70.18234767666601
사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),3944,0,53,0,0,235806,68.0110083569316,3944,69.52229860743874,69.06891153228659
I AM,IVE (아이브),I've IVE,2855,660,30,5,24,238146,68.34762593501758,3515,61.960162171690456,68.8764013006886
ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,4069,103,53,0,20,170373,57.80989406982576,4172,73.54133615371056,68.82190352854512
Dynamite,방탄소년단,Dynamite (DayTime Version),2721,0,53,0,0,466631,95.67282146193341,2721,47.964040190375464,62.27667457184285
Kitsch,IVE (아이브),I've IVE,2888,381,32,3,18,167675,57.35033323641762,3269,57.62383218755509,60.54178250221385
Nxde,i-dle (아이들),I love,3223,158,48,1,12,163958,56.71110301149107,3381,59.59809624537282,59.73199827520829
퀸카 (Queencard),i-dle (아이들),I feel,2353,668,25,6,17,151888,54.58376895712497,3021,53.25224748810153,59.65170392880856
취중고백,김민석 (멜로망스),취중고백,3235,0,53,0,0,205170,63.439348963158,3235,57.02450202714613,58.948956107949684
TOMBOY,i-dle (아이들),I NEVER DIE,2921,0,51,0,0,245785,69.43516560345448,2921,51.48951172219284,56.87320788657132
파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',3008,10,39,0,10,213493,64.71330914003627,3018,53.19936541512428,56.65354853259787
해요 (2022),#안녕,해요 (2022),3438,0,53,0,0,110656,46.5896311177407,3438,60.60285563194078,56.398888277680754
Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',1727,745,18,7,15,180610,59.521337895628335,2472,43.57482813326282,55.358781061972465
Candy,NCT DREAM,Candy - Winter Special Mini Album,2923,9,47,0,9,190605,61.14612400282374,2932,51.6834126564428,54.522226060357085
다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),2797,0,53,0,0,222936,66.12899012521703,2797,49.30371937246606,54.351300598291346
봄날,방탄소년단,YOU NEVER WALK ALONE,1825,0,53,0,0,509796,100.0,1825,32.169927727833596,52.51894940948351
Monologue,테이,Monologue,3066,7,49,0,7,100303,44.35665108181811,3073,54.168870086374056,51.22520438500727
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,1852,0,53,0,0,438253,92.71803887229443,1852,32.645866384628945,50.667518130928585
헤어지자 말해요,박재정,1집 Alone,2566,19,28,0,19,193509,61.61016509168036,2585,45.56671954873964,50.37975321162185
우리들의 블루스,임영웅,IM HERO,2860,0,53,0,0,125417,49.599807651973244,2860,50.41424290498854,50.16991232908395
Teddy Bear,STAYC(스테이씨),Teddy Bear,2838,9,38,0,9,114998,47.49489500060493,2847,50.18508725542041,49.37802957897577
Love Lee,AKMU (악뮤),Love Lee,1078,901,11,9,10,134506,51.365629755583484,1979,34.88454080733298,48.82886749180813
Spicy,aespa,MY WORLD - The 3rd Mini Album,2366,180,26,1,17,149176,54.0942703424003,2546,44.87925260003525,48.64375792274476
그라데이션,10CM,5.3,2437,0,49,0,0,194394,61.75088928715628,2437,42.95787061519478,48.59577621678322
심(心),DK(디셈버),심(心),2857,6,37,0,6,95293,43.23468389192785,2863,50.4671249779658,48.297392652154414
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,2182,0,43,0,0,240782,68.72484942323123,2182,38.462894412127625,47.541480915458706
주저하는 연인들을 위해,잔나비,전설,1543,0,48,0,0,453243,94.2903702221254,1543,27.19901286797109,47.32642007421738
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2492,7,37,0,7,153436,54.86121508658146,2499,44.05076679005817,47.29390127901516
꽃,지수 (JISOO),ME,2557,60,32,0,14,126159,49.74631404091367,2617,46.13079499383043,47.2154507079554
Shut Down,BLACKPINK,BORN PINK,2554,2,44,0,2,132923,51.06247432162754,2556,45.055526176626124,46.85761062012654
Butter,방탄소년단,Butter,1899,0,53,0,0,301133,76.85656380564373,1899,33.47435219460603,46.48901567791734
손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2239,9,28,0,9,192904,61.51377854212202,2248,39.62630001762736,46.19254357497576
Pink Venom,BLACKPINK,BORN PINK,2273,0,42,0,0,164957,56.88361168652671,2273,40.06698395910453,45.11197227733119
