주차,순위,곡명,아티스트,앨범,좋아요,이미지URL
01.01~01.07,1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,124828,https://cdnimg.melon.co.kr/cm2/album/images/113/52/904/11352904_20231027101104_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,2,Drama,aespa,Drama - The 4th Mini Album,111661,https://cdnimg.melon.co.kr/cm2/album/images/113/62/544/11362544_20231110142622_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,178216,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,4,비의 랩소디,임재현,비의 랩소디,107694,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,5,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',322845,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,6,헤어지자 말해요,박재정,1집 Alone,191748,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,7,인사,범진,인사,158715,https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,8,Baddie,IVE (아이브),I'VE MINE,78826,https://cdnimg.melon.co.kr/cm2/album/images/113/33/459/11333459_20231013103537_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),166074,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,10,Love Lee,AKMU (악뮤),Love Lee,133062,https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,228047,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,12,I AM,IVE (아이브),I've IVE,235305,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,13,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],81405,https://cdnimg.melon.co.kr/cm2/album/images/113/39/556/11339556_20231005170424_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,14,에피소드,이무진,에피소드,137890,https://cdnimg.melon.co.kr/cm2/album/images/113/82/987/11382987_20231212165916_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,15,후라이의 꿈,AKMU (악뮤),Love Lee,141207,https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',180188,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,17,Ditto,NewJeans,NewJeans 'OMG',309877,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,18,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,113929,https://cdnimg.melon.co.kr/cm2/album/images/112/85/867/11285867_20230713162404_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,316469,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,20,ETA,NewJeans,NewJeans 2nd EP 'Get Up',147535,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,21,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",107396,https://cdnimg.melon.co.kr/cm2/album/images/112/80/645/11280645_20230705152407_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,22,퀸카 (Queencard),i-dle (아이들),I feel,151501,https://cdnimg.melon.co.kr/cm2/album/images/112/40/232/11240232_20230509151820_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',313732,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,24,Get A Guitar,RIIZE,Get A Guitar,121512,https://cdnimg.melon.co.kr/cm2/album/images/113/09/832/11309832_20230904111501_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,25,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,235558,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,26,별 떨어진다 (I Do),도경수(D.O.),기대 - The 2nd Mini Album,113298,https://cdnimg.melon.co.kr/cm2/album/images/113/23/044/11323044_20230918120653_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,27,Standing Next to You,정국,GOLDEN,82174,https://cdnimg.melon.co.kr/cm2/album/images/113/58/100/11358100_20231102174659_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,28,Either Way,IVE (아이브),I'VE MINE,84454,https://cdnimg.melon.co.kr/cm2/album/images/113/33/459/11333459_20231013103537_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,29,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션,64554,https://cdnimg.melon.co.kr/cm2/album/images/113/15/612/11315612_20230905120657_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,491264,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,31,Discord,QWER,1st Single Album 'Harmony from Discord',77021,https://cdnimg.melon.co.kr/cm2/album/images/113/45/655/11345655_20231017161827_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,32,사랑할 수밖에,볼빨간사춘기,Merry Go Round,82493,https://cdnimg.melon.co.kr/cm2/album/images/113/82/496/11382496_20231211180054_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,33,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),233070,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',341129,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,35,Off The Record,IVE (아이브),I'VE MINE,70714,https://cdnimg.melon.co.kr/cm2/album/images/113/33/459/11333459_20231013103537_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,36,Fast Forward,전소미,GAME PLAN,82813,https://cdnimg.melon.co.kr/cm2/album/images/113/00/771/11300771_20230807190540_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,37,Spicy,aespa,MY WORLD - The 3rd Mini Album,149038,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,38,OMG,NewJeans,NewJeans 'OMG',224866,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,39,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,78933,https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,40,Kitsch,IVE (아이브),I've IVE,166295,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,41,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,118762,https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,42,취중고백,김민석 (멜로망스),취중고백,204002,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,43,잠시라도 우리,성시경,잠시라도 우리,47913,https://cdnimg.melon.co.kr/cm2/album/images/113/47/483/11347483_20231018164423_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,44,LOVE DIVE,IVE (아이브),LOVE DIVE,261338,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,45,심(心),DK(디셈버),심(心),94205,https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,46,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',107785,https://cdnimg.melon.co.kr/cm2/album/images/113/48/980/11348980_20231020173557_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,47,물론,허각,물론,71192,https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,48,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,48573,https://cdnimg.melon.co.kr/cm2/album/images/113/63/599/11363599_20231228161244_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,49,After LIKE,IVE (아이브),After LIKE,249642,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,50,Bubble,STAYC(스테이씨),TEENFRESH,64887,https://cdnimg.melon.co.kr/cm2/album/images/113/05/820/11305820_20230814140002_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,,,,,213223,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,51,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',213223,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,52,주저하는 연인들을 위해,잔나비,전설,451650,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,53,해요 (2022),#안녕,해요 (2022),109734,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,54,화이트 (White),폴킴,화이트 (White),33199,https://cdnimg.melon.co.kr/cm2/album/images/113/87/681/11387681_20231220154513_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,55,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),168650,https://cdnimg.melon.co.kr/cm2/album/images/108/01/677/10801677_20211202181813_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,56,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),220753,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,57,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',72937,https://cdnimg.melon.co.kr/cm2/album/images/113/56/868/11356868_20231101160655_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,58,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡,62876,https://cdnimg.melon.co.kr/cm2/album/images/113/33/953/11333953_20230925172945_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438622,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,60,우리들의 블루스,임영웅,IM HERO,124332,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,61,Attention,NewJeans,NewJeans 1st EP 'New Jeans',259475,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,62,Dynamite,방탄소년단,Dynamite (DayTime Version),466990,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,63,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',192793,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,64,사랑..그게 뭔데,지아,사랑..그게 뭔데,57623,https://cdnimg.melon.co.kr/cm2/album/images/112/42/411/11242411_20230511140611_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,65,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),54219,https://cdnimg.melon.co.kr/cm2/album/images/111/54/218/11154218_20230120135907_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,66,나에게 그대만이,탑현,나에게 그대만이,61288,https://cdnimg.melon.co.kr/cm2/album/images/112/62/009/11262009_20230609150557_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,67,Do or Die,임영웅,Do or Die,54278,https://cdnimg.melon.co.kr/cm2/album/images/113/40/391/11340391_20231006154621_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,68,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,41625,https://cdnimg.melon.co.kr/cm2/album/images/113/76/558/11376558_20231130165245_500.jpg/melon/resize/48/quality/80/optimize
