주차,순위,곡명,아티스트,앨범,좋아요,이미지URL
01.01~01.07,69,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,120806,https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,70,모래 알갱이,임영웅,모래 알갱이,73981,https://cdnimg.melon.co.kr/cm2/album/images/112/58/233/11258233_20230605094802_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,71,I Love My Body,화사 (HWASA),I Love My Body,37404,https://cdnimg.melon.co.kr/cm2/album/images/113/20/510/11320510_20230905175627_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,72,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,363978,https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,73,다시 만날 수 있을까,임영웅,IM HERO,102309,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,74,봄날,방탄소년단,YOU NEVER WALK ALONE,509369,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,75,예뻤어,DAY6 (데이식스),Every DAY6 February,378010,https://cdnimg.melon.co.kr/cm/album/images/100/36/099/10036099_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,76,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,183575,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,77,Butter,방탄소년단,Butter,299385,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,78,무지개,임영웅,IM HERO,87130,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,79,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,60098,https://cdnimg.melon.co.kr/cm2/album/images/113/53/281/11353281_20231027143056_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,80,크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT,166033,https://cdnimg.melon.co.kr/cm/album/images/021/68/409/2168409_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,81,아버지,임영웅,IM HERO,62942,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,82,London Boy,임영웅,Polaroid,72250,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,83,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],126088,https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,84,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,161237,https://cdnimg.melon.co.kr/cm2/album/images/109/84/354/10984354_20220615140704_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,85,Polaroid,임영웅,Polaroid,62837,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,86,인생찬가,임영웅,IM HERO,64660,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,87,숲,최유리,유영,182474,https://cdnimg.melon.co.kr/cm2/album/images/110/36/283/11036283_20220823181214_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,88,3D (feat. Jack Harlow),정국,3D (feat. Jack Harlow),64010,https://cdnimg.melon.co.kr/cm2/album/images/113/34/935/11334935_20230926152000_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,89,어른,Sondia,나의 아저씨 OST Part.2,270747,https://cdnimg.melon.co.kr/cm/album/images/101/52/984/10152984_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,90,Merry PLLIstmas,PLAVE,Merry PLLIstmas,48253,https://cdnimg.melon.co.kr/cm2/album/images/113/81/907/11381907_20231211140806_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,91,꽃,지수 (JISOO),ME,126003,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,92,A bientot,임영웅,IM HERO,57639,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,93,Yes or No,정국,GOLDEN,45448,https://cdnimg.melon.co.kr/cm2/album/images/113/58/100/11358100_20231102174659_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,94,희재,성시경,국화꽃 향기 OST,181869,https://cdnimg.melon.co.kr/cm/album/images/000/28/985/28985_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,95,Teddy Bear,STAYC(스테이씨),Teddy Bear,114744,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,96,연애편지,임영웅,IM HERO,58356,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,97,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,181126,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,98,Be There For Me,NCT 127,Be There For Me - Winter Special Single,42912,https://cdnimg.melon.co.kr/cm2/album/images/113/88/535/11388535_20231221164244_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,99,첫눈처럼 너에게 가겠다,에일리(Ailee),도깨비 OST Part.9,352068,https://cdnimg.melon.co.kr/cm/album/images/100/29/181/10029181_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,100,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,170236,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,1,비의 랩소디,임재현,비의 랩소디,107694,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,2,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,124828,https://cdnimg.melon.co.kr/cm2/album/images/113/52/904/11352904_20231027101104_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,178216,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,4,Drama,aespa,Drama - The 4th Mini Album,111661,https://cdnimg.melon.co.kr/cm2/album/images/113/62/544/11362544_20231110142622_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,5,헤어지자 말해요,박재정,1집 Alone,191748,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,6,인사,범진,인사,158715,https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,7,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',322845,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),166074,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,9,Baddie,IVE (아이브),I'VE MINE,78826,https://cdnimg.melon.co.kr/cm2/album/images/113/33/459/11333459_20231013103537_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,10,에피소드,이무진,에피소드,137890,https://cdnimg.melon.co.kr/cm2/album/images/113/82/987/11382987_20231212165916_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,228047,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,12,Love Lee,AKMU (악뮤),Love Lee,133062,https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,13,I AM,IVE (아이브),I've IVE,235305,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],81405,https://cdnimg.melon.co.kr/cm2/album/images/113/39/556/11339556_20231005170424_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,15,후라이의 꿈,AKMU (악뮤),Love Lee,141207,https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',180188,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,17,Ditto,NewJeans,NewJeans 'OMG',309877,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,18,Get A Guitar,RIIZE,Get A Guitar,121512,https://cdnimg.melon.co.kr/cm2/album/images/113/09/832/11309832_20230904111501_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,113929,https://cdnimg.melon.co.kr/cm2/album/images/112/85/867/11285867_20230713162404_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,20,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,316469,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,21,ETA,NewJeans,NewJeans 2nd EP 'Get Up',147535,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,22,Love 119,RIIZE,Love 119,134825,https://cdnimg.melon.co.kr/cm2/album/images/113/94/065/11394065_20240104151541_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",107396,https://cdnimg.melon.co.kr/cm2/album/images/112/80/645/11280645_20230705152407_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,24,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',313732,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,25,퀸카 (Queencard),i-dle (아이들),I feel,151501,https://cdnimg.melon.co.kr/cm2/album/images/112/40/232/11240232_20230509151820_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,235558,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,27,별 떨어진다 (I Do),도경수(D.O.),기대 - The 2nd Mini Album,113298,https://cdnimg.melon.co.kr/cm2/album/images/113/23/044/11323044_20230918120653_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,491264,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,29,Standing Next to You,정국,GOLDEN,82174,https://cdnimg.melon.co.kr/cm2/album/images/113/58/100/11358100_20231102174659_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,30,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),233070,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,31,Discord,QWER,1st Single Album 'Harmony from Discord',77021,https://cdnimg.melon.co.kr/cm2/album/images/113/45/655/11345655_20231017161827_500.jpg/melon/resize/48/quality/80/optimize
01.08~01.14,32,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션,64554,https://cdnimg.melon.co.kr/cm2/album/images/113/15/612/11315612_20230905120657_500.jpg/melon/resize/48/quality/80/optimize
