주차,순위,곡명,아티스트,앨범,좋아요,이미지URL
01.01~01.07,1.0,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,124828,https://cdnimg.melon.co.kr/cm2/album/images/113/52/904/11352904_20231027101104_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,2.0,Drama,aespa,Drama - The 4th Mini Album,111661,https://cdnimg.melon.co.kr/cm2/album/images/113/62/544/11362544_20231110142622_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,3.0,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,178216,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,4.0,비의 랩소디,임재현,비의 랩소디,107694,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,5.0,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',322845,https://cdnimg.melon.co.kr/cm/album/images/022/19/671/2219671_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,6.0,헤어지자 말해요,박재정,1집 Alone,191748,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,7.0,인사,범진,인사,158715,https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,8.0,Baddie,IVE (아이브),I'VE MINE,78826,https://cdnimg.melon.co.kr/cm2/album/images/113/33/459/11333459_20231013103537_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,9.0,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),166074,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/48/quality/80/optimize
01.01~01.07,10.0,Love Lee,AKMU (악뮤),Love Lee,133062,https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/48/quality/80/optimize
