year,week,rank,title,artist,album,like_cnt
2021,01.04~01.10,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI),쇼미더머니 9 Episode 1,222707
2021,01.04~01.10,2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),244775
2021,01.04~01.10,3,Dynamite,방탄소년단,Dynamite (DayTime Version),466632
2021,01.04~01.10,4,잠이 오질 않네요,장범준,잠이 오질 않네요,174992
2021,01.04~01.10,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3,150846
2021,01.04~01.10,6,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,116538
2021,01.04~01.10,7,Lovesick Girls,BLACKPINK,THE ALBUM,249634
2021,01.04~01.10,8,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),261057
2021,01.04~01.10,9,Life Goes On,방탄소년단,BE,245671
2021,01.04~01.10,10,오래된 노래,스탠딩 에그,오래된 노래,291375
2021,01.04~01.10,11,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final,97980
2021,01.04~01.10,12,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),127493
2021,01.04~01.10,13,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),166864
2021,01.04~01.10,14,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI),쇼미더머니 9 Episode 3,71725
2021,01.04~01.10,15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495130
2021,01.04~01.10,16,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,397072
2021,01.04~01.10,17,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final,59076
