year,week,week_start,week_end,rank,title,artist,album,like_cnt
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,1,METEOR,창모 (CHANGMO),Boyhood,312720
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,2,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,247493
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,Dingo X DAMOIM (Part 2),167116
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,4,Blueming,아이유,Love poem,369754
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,5,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,227381
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,6,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,316281
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",79299
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,8,HIP,마마무 (Mamamoo),reality in BLACK,136727
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,9,Love poem,아이유,Love poem,353765
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495297
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,11,나의 오랜 연인에게,다비치,나의 오랜 연인에게,93592
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320125
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,13,헤어진 우리가 지켜야 할 것들,김나영,헤어진 우리가 지켜야 할 것들,86102
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,14,조금 취했어 (Prod. 2soo),임재현,조금 취했어,136254
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,15,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,294537
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,16,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,77989
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,17,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,144156
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,18,안녕,폴킴,호텔 델루나 OST Part.10,224278
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,19,이 번호로 전화해줘,바이브,이 번호로 전화해줘,71987
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,20,새 사랑,송하예,새 사랑,104823
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,21,빌었어,창모 (CHANGMO),Boyhood,164600
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,22,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,85383
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,23,있어줘요,장덕철,있어줘요,92079
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,24,첫 겨울이니까,성시경,첫 겨울이니까,60891
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,25,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,416056
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,26,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,230215
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,27,포장마차,황인욱,포장마차,167620
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,28,니 소식,송하예,니 소식,208921
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,29,이별주,황인욱,이별주,66033
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,30,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438254
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,31,다시 만날까 봐,V.O.S,다시 만날까 봐,104526
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,32,BAND,창모 (CHANGMO),BAND,141235
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,33,Obsession,EXO,OBSESSION - The 6th Album,115411
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,34,시간의 바깥,아이유,Love poem,154172
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,35,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,122899
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,36,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,236159
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,37,기억해줘요 내 모든 날과 그때를,거미 (GUMMY),호텔 델루나 OST Part.7,184595
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,38,사랑이 식었다고 말해도 돼,먼데이 키즈,사랑이 식었다고 말해도 돼,134696
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,39,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),86217
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,40,워커홀릭,볼빨간사춘기,Two Five,148148
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,41,너를 만나,폴킴,너를 만나,320719
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,42,술이 문제야,장혜진,술이 문제야,154263
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,43,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,252581
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,44,숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON),겨울왕국 2 (한국어 버전),78994
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,45,가을밤 떠난 너,케이시 (Kassy),Rewind,154870
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,46,잘 살고 있다,V.O.S,잘 살고 있다,41514
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,47,Feel Special,TWICE (트와이스),Feel Special,122616
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,48,허전해,폴킴,"정규 2집 '마음, 하나'",82764
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,49,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,127453
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,50,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),270527
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,51,Flower,윤미래,사랑의 불시착 OST Part 2,64061
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,52,중2병,염따,Dingo X DAMOIM (Part 3),31742
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,53,헤어지자 (Prod. 정키),휘인 (Whee In),soar,126773
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,54,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,77193
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,55,unlucky,아이유,Love poem,133937
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,56,LION,i-dle (아이들),퀸덤 <FINAL 컴백 싱글>,115392
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,57,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,181214
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,58,샤넬 (Feat. 박봄),MC몽,CHANNEL 8,47217
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,59,주저하는 연인들을 위해,잔나비,전설,453243
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,60,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따,Amanda,46955
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,61,노을,다비치,사랑의 불시착 OST Part 3,45507
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,62,봄날,방탄소년단,YOU NEVER WALK ALONE,509799
2020,2019.12.30 ~ 2020.01.05,2019.12.30,2020.01.05,63,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6,78278
