year,week,week_start,week_end,rank,title,artist,album,like_cnt
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,1,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars,178320
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,238894
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,3,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,204321
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,4,겨울잠,아이유,조각집,140436
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,5,ELEVEN,IVE (아이브),ELEVEN,201672
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,6,취중고백,김민석 (멜로망스),취중고백,205169
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,237232
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,8,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3,148940
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,9,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),171655
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,10,strawberry moon,아이유,strawberry moon,238507
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,11,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),222936
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,12,Dreams Come True,aespa,Dreams Come True - SM STATION,116331
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,13,드라마,아이유,조각집,202455
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,14,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,쇼미더머니 10 Semi Final,88316
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,15,신호등,이무진,신호등,319005
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,16,Savage,aespa,Savage - The 1st Mini Album,168720
2022,2022.01.03 ~ 2022.01.09,2022.01.03,2022.01.09,17,Next Level,aespa,Next Level,274221
