year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI),쇼미더머니 9 Episode 1,222711
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),244780
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,3,Dynamite,방탄소년단,Dynamite (DayTime Version),466623
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,4,잠이 오질 않네요,장범준,잠이 오질 않네요,174989
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3,150868
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,6,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,116535
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,7,Lovesick Girls,BLACKPINK,THE ALBUM,249606
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,8,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),261046
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,9,Life Goes On,방탄소년단,BE,245658
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,10,오래된 노래,스탠딩 에그,오래된 노래,291350
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,11,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final,98009
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,12,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),127483
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,13,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),166872
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,14,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI),쇼미더머니 9 Episode 3,71721
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495319
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,16,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,397029
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,17,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final,59081
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,18,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,72495
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,19,When We Disco (Duet with 선미),박진영,When We Disco,83869
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,20,Freak (Prod. Slom),릴보이 (lIlBOI),쇼미더머니 9 Episode 1,88296
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,21,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,227384
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,22,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320118
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,23,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,227390
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,24,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3,72736
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,25,How You Like That,BLACKPINK,How You Like That,206256
2021,2021.01.04 ~ 2021.01.10,2021-01-04,2021.01.10,26,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438240
